P06844	PF02269
P29056	PF00382
P29056	PF08271
P15565	PF02005
Q99394	PF04051
P36009	PF00270
P36009	PF21010
P36009	PF04408
P36009	PF00271
P36009	PF07717
P38187	PF00443
Q04935	PF12597
P38931	PF06333
P38931	PF11597
P15938	PF00270
P15938	PF21010
P15938	PF04408
P15938	PF00271
P15938	PF07717
P0CX45	PF00181
P0CX45	PF03947
P10664	PF00573
P10664	PF14374
Q07622	PF08238
P29453	PF01248
P51401	PF00347
P50095	PF00571
P50095	PF00478
P25337	PF01125
P26755	PF08661
P32578	PF16561
P32578	PF04739
P35497	PF08240
P35497	PF00107
Q00711	PF00890
Q00711	PF01134
Q00711	PF02910
P38925	PF01566
Q03018	PF03568
P11710	PF00018
P38270	PF10186
P0C0X0	PF01200
P0CX30	PF00164
P36147	PF08566
P39107	PF03452
P38697	PF00571
P38697	PF00478
Q05359	PF01105
P53039	PF04893
P11075	PF20252
P11075	PF16213
P11075	PF01369
P11075	PF09324
P11075	PF12783
P38064	PF00252
Q92316	PF05251
P32588	PF00076
P14904	PF02127
P17123	PF05032
P32867	PF05739
P32867	PF00804
Q03162	PF01753
Q12051	PF00348
P17709	PF00349
P17709	PF03727
P17890	PF11705
P04397	PF01263
P04397	PF16363
P12945	PF12569
P35207	PF00270
P35207	PF08148
P35207	PF00271
P35207	PF21408
P35207	PF21409
P35207	PF17911
P06169	PF02775
P06169	PF00205
P06169	PF02776
P46678	PF00249
P31244	PF00271
P31244	PF00176
P31244	PF00097
P0C0W9	PF00281
P0C0W9	PF00673
P26784	PF00572
Q06410	PF04108
P13433	PF00940
P13433	PF14700
P57744	PF02953
P28004	PF02731
Q02775	PF11708
Q03772	PF04889
P38085	PF00324
Q01852	PF04280
P38272	PF17078
P25583	PF05063
P38753	PF00018
P38753	PF00790
Q02767	PF03997
Q12344	PF00566
P30902	PF05873
P36122	PF09295
P25339	PF00806
P32501	PF00483
P32501	PF02020
Q04183	PF08626
P38316	PF04110
P39013	PF12763
P39013	PF12761
P38237	PF00627
P38237	PF22562
P38237	PF00443
P38237	PF02148
P38237	PF17807
P28496	PF03798
P22138	PF06883
P22138	PF04563
P22138	PF04561
P22138	PF04565
P22138	PF00562
P22138	PF04560
P43563	PF03637
Q08553	PF11718
Q12429	PF01902
Q12429	PF01042
P38065	PF01602
P07270	PF00010
P35192	PF00649
P38247	PF16818
P25569	PF00400
Q12099	PF00270
Q12099	PF00271
P39952	PF02096
P41896	PF02270
P41896	PF17683
P17442	PF00023
P17442	PF03105
P08417	PF10415
P08417	PF00206
P26637	PF08264
P26637	PF00133
P32319	PF02012
P32319	PF15901
P35688	PF00412
P35688	PF00620
P23291	PF00069
P40363	PF00756
Q02770	PF00160
Q08412	PF02845
Q04767	PF10233
O60200	PF05254
Q00618	PF01239
Q08446	PF04969
Q08446	PF05002
P52893	PF00155
P32899	PF00163
P32899	PF01479
Q03071	PF03931
P32773	PF03153
P25515	PF00137
P33417	PF00505
Q06834	PF13639
Q06631	PF13339
Q06631	PF08164
P06838	PF03834
P32898	PF08367
P32898	PF00675
P32898	PF05193
P38863	PF04130
P38863	PF17681
Q12188	PF04825
P40528	PF03124
P40528	PF03105
P43619	PF01729
P43619	PF02749
P47160	PF01417
P38629	PF00004
P38629	PF08542
Q06287	PF03587
P32793	PF00018
P32793	PF04366
P51534	PF11701
P38875	PF04113
P53949	PF03162
P43123	PF01704
P28795	PF04882
Q04922	PF00646
Q04048	PF05843
O13516	PF00163
O13516	PF01479
P40460	PF18077
P40460	PF03801
P40541	PF21767
P40541	PF21581
P40541	PF08514
Q02795	PF05817
P0C2H8	PF01198
Q03784	PF04099
P48565	PF08733
P22209	PF00069
Q01919	PF00069
P38207	PF03372
P38207	PF06839
P04710	PF00153
Q12107	PF12856
P47054	PF11894
Q12532	PF11923
Q12532	PF05670
Q12532	PF05833
P53046	PF00780
P53046	PF00610
P53046	PF15405
P53046	PF00621
P13099	PF01131
P13099	PF01751
Q05021	PF04658
P46957	PF18018
P46957	PF04042
Q12328	PF02466
P25693	PF00134
Q12157	PF12861
P32471	PF21972
P32471	PF10587
P32471	PF00736
P39005	PF10342
P39005	PF05390
P10870	PF00083
P41818	PF04979
P36145	PF22254
P36145	PF18121
P36145	PF02186
P36517	PF06984
P32590	PF00012
P41921	PF12831
P41921	PF00070
P41921	PF02852
Q99382	PF05620
P40015	PF03372
P53295	PF01926
P53295	PF16897
P53295	PF02824
Q06707	PF17330
P38086	PF00271
P38086	PF00176
Q07478	PF00270
Q07478	PF00271
P19736	PF16958
P19736	PF16837
P19736	PF11931
P19736	PF12171
P49960	PF05391
P49960	PF00076
P49960	PF16842
P07278	PF00027
P07278	PF02197
P36019	PF00071
Q04511	PF00646
P36132	PF00814
P36117	PF02752
P38170	PF05786
P53336	PF02598
P52488	PF00899
P52488	PF10585
Q3E7X9	PF01200
P38826	PF05460
Q03407	PF00069
Q06651	PF01363
Q06651	PF13639
P06774	PF02045
P38874	PF10483
P38630	PF00004
P38630	PF00533
P38630	PF08519
P53861	PF06881
P48566	PF00566
P0CX80	PF11403
P0CX81	PF11403
P35198	PF17235
P06781	PF00071
P47083	PF04006
O13563	PF04683
Q03338	PF08572
Q03338	PF06544
O13297	PF02940
P32580	PF22527
P32580	PF00271
P32580	PF12513
P38623	PF00069
P00890	PF00285
P36126	PF00614
Q04599	PF00687
P25037	PF00443
P47977	PF00642
P38217	PF02985
P32862	PF00172
P34239	PF18639
P33750	PF04158
P33750	PF00400
Q08817	PF12799
Q08817	PF10428
P53303	PF22794
P53303	PF03367
P53159	PF17060
P32357	PF05282
P32357	PF20981
P53223	PF01569
P00358	PF02800
P00358	PF00044
P39014	PF00646
P39014	PF00400
P38080	PF00069
P52490	PF00179
Q06405	PF10791
Q04201	PF02845
Q05942	PF14615
P48524	PF04426
P48524	PF04425
P46984	PF08738
Q12308	PF12660
P08466	PF01223
P47108	PF10441
P32349	PF08221
P32349	PF22536
P32349	PF05645
P32349	PF20912
P07347	PF00583
P38234	PF03358
P41808	PF00069
Q04749	PF00023
P35179	PF00584
Q12402	PF03134
P17891	PF01086
Q04739	PF16561
Q04739	PF04739
P32266	PF00350
P20795	PF00995
Q05779	PF08511
P53923	PF10288
P47117	PF00022
P20081	PF00254
P53091	PF00493
P53091	PF18263
P53091	PF17855
P53091	PF14551
P53091	PF17207
P12695	PF00198
P12695	PF00364
P12695	PF02817
P39962	PF00069
Q12118	PF16546
Q12118	PF00515
P13134	PF00082
P13134	PF01483
P38755	PF01237
P15992	PF00011
P27680	PF13489
Q08924	PF00400
P33328	PF00957
Q12466	PF00168
P38911	PF00254
P38911	PF17800
P36040	PF09754
P06784	PF00069
P09733	PF00091
P09733	PF03953
P53860	PF00650
P53860	PF03765
P36162	PF08654
P47156	PF02373
P47156	PF02375
P47156	PF00628
P0CX51	PF00380
Q07471	PF02775
Q07471	PF00205
Q07471	PF02776
P40356	PF11593
P54964	PF00929
P38815	PF00787
Q06109	PF17068
P40517	PF00638
P31378	PF00633
P31378	PF00730
P22202	PF00012
P38254	PF01975
P38254	PF03133
Q02205	PF15454
P18496	PF05176
Q03920	PF05175
P39079	PF00118
Q12483	PF04157
Q06162	PF09447
P40007	PF09420
Q04177	PF04003
Q12152	PF00069
Q99186	PF00928
P25365	PF00400
P32836	PF00071
Q12211	PF01416
P40344	PF03987
P27796	PF02803
P27796	PF00108
P36002	PF00069
P40079	PF04000
Q99359	PF16997
Q99176	PF07200
Q12196	PF01163
P39968	PF00514
P0C0W1	PF00410
P36047	PF12799
P36047	PF14580
P40479	PF00782
P53950	PF12751
P06100	PF04153
P22134	PF00730
P48559	PF00071
P38089	PF00481
P32477	PF03074
P33893	PF02934
P33893	PF02637
P20050	PF02301
P20606	PF00025
P0CX35	PF16121
P0CX35	PF00467
P0CX35	PF00900
P0CX35	PF08071
P0CX35	PF01479
Q08622	PF01926
P27515	PF00485
P27515	PF14681
P53904	PF01302
P53904	PF14560
P43574	PF08550
P43574	PF00320
P38349	PF00789
P25637	PF05773
P25637	PF01205
P38319	PF06087
P31412	PF03223
P00549	PF00224
P00549	PF02887
P13711	PF01756
P13711	PF22924
P13711	PF02770
P13711	PF14749
Q12451	PF00023
Q12451	PF01237
Q12451	PF00169
P32769	PF22594
P32769	PF00009
P32769	PF08938
P40036	PF03370
P38928	PF05345
P00424	PF02936
P40956	PF01412
P40956	PF00627
P53176	PF00674
P18562	PF14681
P53865	PF11778
P40563	PF11489
P32327	PF02785
P32327	PF00289
P32327	PF00364
P32327	PF02786
P32327	PF00682
P32327	PF02436
P53633	PF03208
P53323	PF06293
P07269	PF00046
P61829	PF00137
P28003	PF04433
P39526	PF20210
P36010	PF00334
P43603	PF00018
P43603	PF04366
P50112	PF10342
P50112	PF05390
D6VTK4	PF02116
Q00816	PF08550
P49723	PF00268
P38823	PF00498
P38823	PF17123
P49089	PF00733
P49089	PF13537
Q06409	PF20421
P53853	PF00956
Q12329	PF00011
Q06407	PF00412
Q06407	PF00620
P53734	PF00270
P53734	PF00271
P43321	PF01423
Q05924	PF00149
P28006	PF03370
Q02555	PF00035
Q02555	PF00636
Q02555	PF18497
P36527	PF09812
P53933	PF09949
P12688	PF00069
P12688	PF00433
P53299	PF02953
Q99189	PF03810
Q99189	PF08389
P07251	PF00006
P07251	PF00306
P07251	PF02874
Q12016	PF05255
Q08438	PF02441
Q12457	PF00249
Q12457	PF21559
P01119	PF00071
P08638	PF00172
P53974	PF00069
P47075	PF02656
P47075	PF09359
P40358	PF00226
P53012	PF10261
P05986	PF00069
P89886	PF17832
P89886	PF01472
P00942	PF00121
Q06549	PF00383
Q03281	PF12949
Q03281	PF09402
P32611	PF00181
P32611	PF03947
P32288	PF00120
P32288	PF03951
Q06543	PF03029
P18963	PF00616
P32642	PF00462
P32642	PF00085
P05740	PF00237
Q02326	PF01159
P40054	PF00389
P40054	PF02826
Q12000	PF16543
P16658	PF01974
Q06411	PF01585
Q03466	PF10374
Q03466	PF10373
P41920	PF00638
P53090	PF00155
P35200	PF04707
P53914	PF13718
P53914	PF05127
P53914	PF08351
P53914	PF13725
P36008	PF00647
P36008	PF00043
P36008	PF02798
P39538	PF06337
P39538	PF00443
P0CX42	PF00238
P0CX83	PF01280
Q05785	PF01417
Q06682	PF13899
Q06682	PF14555
Q06682	PF00789
P07276	PF00867
P07276	PF00752
P23642	PF03452
P38329	PF00324
P38329	PF03522
P40851	PF00675
P05756	PF08069
P05756	PF00312
Q07930	PF00498
P17649	PF00202
P49435	PF00156
Q03308	PF04840
Q03308	PF04841
P38426	PF00982
P38426	PF02358
P40969	PF16846
P40969	PF00172
Q12452	PF00106
P04387	PF22685
P04387	PF01408
P32486	PF03935
Q04213	PF00855
Q07980	PF01119
Q04712	PF04090
P23248	PF01015
Q08754	PF09295
P09457	PF00213
P19097	PF01648
P19097	PF18325
P19097	PF18314
P19097	PF00109
P19097	PF02801
P36118	PF15458
Q02805	PF02752
Q02805	PF00339
P22517	PF00069
Q02721	PF21736
Q12396	PF03388
Q00723	PF03371
P43568	PF00069
P42846	PF05178
P42846	PF12936
Q02939	PF03849
Q02939	PF18307
P21734	PF09288
P21734	PF00179
P07262	PF00208
P07262	PF02812
P46969	PF00834
P32489	PF10376
P53883	PF00076
Q12175	PF05192
Q12175	PF00488
P47912	PF00501
P40046	PF02656
P35845	PF00023
P35845	PF01237
P35845	PF00169
P53893	PF00679
P53893	PF14492
P53893	PF00009
Q08285	PF15985
Q08285	PF18311
Q08285	PF21262
P53010	PF20770
P53010	PF00929
P53010	PF13423
P36018	PF00071
P34761	PF00076
P36100	PF02002
Q03002	PF00069
Q12347	PF19270
P33204	PF05856
P38694	PF00171
P53549	PF00004
P53549	PF17862
P53549	PF16450
Q08686	PF00581
P42843	PF00646
P38830	PF05224
P47005	PF00646
P33331	PF02136
P33748	PF00096
P00937	PF00117
P00937	PF00218
Q07800	PF03031
Q12083	PF13589
P33891	PF04437
P0CX36	PF16121
P0CX36	PF00467
P0CX36	PF00900
P0CX36	PF08071
P0CX36	PF01479
P26786	PF01251
P38225	PF00501
Q12494	PF03770
P33314	PF00168
P33314	PF00616
P19358	PF02773
P19358	PF02772
P19358	PF00438
P46683	PF12796
P0CX32	PF01282
Q3E7Y3	PF00410
P21192	PF00096
Q12171	PF08118
Q12400	PF01746
P53067	PF03810
P50623	PF00179
P39010	PF00023
P39010	PF01529
Q06412	PF00780
Q06412	PF00621
P40558	PF10609
P33418	PF19282
P33418	PF08389
P34252	PF11719
Q99271	PF00999
Q99271	PF08619
Q07732	PF11778
P21651	PF09074
Q07844	PF00004
Q07844	PF17862
P40024	PF00005
P40024	PF12848
P11633	PF00505
P53953	PF00626
P53953	PF08033
P53953	PF04815
P53953	PF04811
P53953	PF04810
P53969	PF01103
P32909	PF02213
Q12049	PF03399
P12754	PF01008
Q12199	PF04176
P38837	PF07281
P36421	PF00579
P53834	PF09229
Q12074	PF01564
Q12074	PF17284
P40026	PF08691
P38687	PF16969
P25389	PF16797
P25389	PF00069
P38692	PF00069
Q12055	PF13238
Q06629	PF11496
P38719	PF00270
P38719	PF00271
Q03096	PF10341
P13259	PF01467
P50101	PF22486
P50101	PF00443
P50101	PF14533
P50101	PF12436
P38636	PF00403
P38888	PF01532
P40341	PF00004
P40341	PF17862
P40341	PF06480
P40341	PF01434
P53863	PF00226
P53863	PF12171
P53863	PF21884
P17505	PF02866
P17505	PF00056
P33310	PF00664
P33310	PF00005
Q12502	PF13002
P54839	PF08540
P54839	PF01154
Q12361	PF11710
Q12361	PF11970
P38627	PF06418
P38627	PF00117
P50946	PF03162
P24813	PF00170
P24813	PF08601
P38287	PF04488
P40342	PF17083
P53137	PF02845
P39109	PF00664
P39109	PF00005
P53877	PF00400
P14126	PF00297
P53909	PF00962
P08067	PF00355
P08067	PF02921
P0CX56	PF00416
P36125	PF05216
P40033	PF01084
P21339	PF08101
Q06005	PF03099
P36144	PF00687
P53163	PF00542
P53163	PF16320
P39112	PF00773
P32419	PF02866
P32419	PF00056
P11412	PF02781
P11412	PF00479
P46989	PF09451
P32478	PF00399
P32478	PF22799
P48234	PF08159
P40413	PF00118
P38879	PF19026
P38879	PF01849
Q03919	PF00240
P36123	PF04499
P16861	PF00365
P16861	PF18468
P16451	PF00364
P23776	PF00150
P48164	PF01251
Q12093	PF03054
Q12093	PF20258
Q12093	PF20259
Q02792	PF17846
Q02792	PF03159
P46963	PF12350
Q03799	PF00410
P29703	PF01239
Q12060	PF12767
Q02890	PF01841
P41909	PF06472
P41909	PF00005
P36531	PF21492
P22219	PF00069
P53968	PF00096
P43564	PF05277
Q05778	PF10450
P53551	PF00538
P38910	PF00166
Q6Q547	PF04135
Q06672	PF10273
P09435	PF00012
P24783	PF00270
P24783	PF00271
Q12230	PF13805
P32634	PF13964
Q03687	PF04193
P24868	PF02984
P24868	PF00134
P48813	PF00324
P40310	PF07885
P19882	PF00118
Q12220	PF04003
Q12220	PF00400
P15625	PF18554
P15625	PF18553
P15625	PF01409
Q03201	PF00338
P54791	PF14629
Q03640	PF00168
P15424	PF00270
P15424	PF00271
Q12469	PF00786
Q12469	PF00169
Q12469	PF00069
Q03088	PF08546
P38620	PF13793
P38620	PF14572
P25574	PF07774
Q04867	PF02598
P53971	PF01424
P53971	PF01422
P25451	PF00227
P14680	PF00069
P53335	PF01585
Q06001	PF00498
P07253	PF20180
P28742	PF00225
Q12434	PF02115
P38786	PF01876
P38219	PF01926
P38219	PF06071
P45818	PF00270
P45818	PF00271
P36168	PF13638
P16622	PF00762
P53319	PF00393
P53319	PF03446
P38816	PF07992
P05745	PF01158
P50085	PF01145
P53218	PF01918
P40480	PF00023
P54786	PF08632
P08431	PF01087
P08431	PF02744
Q04013	PF00153
P33327	PF00208
P32179	PF00459
P38781	PF00172
Q12151	PF11951
Q12151	PF00172
P06106	PF01053
P40472	PF03856
Q04693	PF03178
Q04693	PF10433
P35194	PF20416
P35194	PF07539
P36102	PF18101
P0CX55	PF00416
P0CX47	PF00366
P0CX47	PF16205
Q12041	PF00096
Q3E757	PF00281
Q3E757	PF00673
P54730	PF11470
P54730	PF00789
Q03868	PF15404
Q03868	PF15407
P47818	PF01988
Q02516	PF00125
Q12267	PF06470
Q12267	PF02463
P38175	PF01165
P27929	PF01479
P47002	PF08192
Q02201	PF01237
Q02773	PF08579
P25336	PF01624
P25336	PF05188
P25336	PF05192
P25336	PF05190
P25336	PF00488
P32366	PF01992
Q12335	PF03358
P40106	PF00702
P53955	PF20400
P53955	PF20399
P53958	PF10846
Q02784	PF00462
Q12431	PF07019
Q12471	PF01591
P53166	PF00270
P53166	PF00271
P40009	PF01150
P53212	PF20772
P53212	PF01709
P35844	PF01237
P53855	PF09333
P53855	PF13329
P53855	PF21676
P02992	PF00009
P02992	PF03144
P02992	PF03143
P53324	PF07859
P53324	PF10340
P38204	PF05234
P46959	PF08704
P32461	PF01866
P29467	PF13971
P10355	PF05476
Q02950	PF11709
P38760	PF00076
P47018	PF10310
P40096	PF00808
P46655	PF00749
P46655	PF03950
P46655	PF20974
P47079	PF00118
P36070	PF05327
P09624	PF00890
P09624	PF07992
P09624	PF02852
P40567	PF13893
P11325	PF00133
P11325	PF13603
P00447	PF02777
P00447	PF00081
P25374	PF00266
Q08179	PF07766
P52871	PF03911
P36097	PF21547
Q02204	PF10501
P53540	PF04130
P53540	PF17681
P53238	PF13499
P05743	PF00467
P05743	PF16906
P32491	PF00069
Q08387	PF00533
Q08387	PF01068
Q08387	PF04675
P49017	PF01209
P41056	PF01247
Q08747	PF08766
Q08747	PF02201
P49167	PF01781
Q12754	PF08161
P36525	PF00830
P00359	PF02800
P00359	PF00044
Q12213	PF00327
Q12213	PF08079
P05739	PF01159
O74700	PF02953
P40496	PF13741
P47150	PF00177
P37296	PF01496
Q08977	PF10303
P41912	PF10256
P46654	PF00318
P38337	PF05205
P53851	PF00400
P48743	PF02257
P33122	PF00010
P52491	PF00179
P32786	PF10214
P32786	PF20640
P32786	PF20639
Q99278	PF10280
P14908	PF00398
P25039	PF00679
P25039	PF14492
P25039	PF03764
P25039	PF00009
P53600	PF01217
P53924	PF00498
P53924	PF17123
Q12123	PF05652
Q12123	PF11969
Q08448	PF05057
P38305	PF12622
P38828	PF09793
P38828	PF21166
P48526	PF08264
P48526	PF00133
P32341	PF11712
P38929	PF13246
P38929	PF00689
P38929	PF00690
P38929	PF00122
P38929	PF00702
P53844	PF00650
P53844	PF03765
P18962	PF00930
P18962	PF00326
P52868	PF00226
P53739	PF00069
P47118	PF09811
P40217	PF00400
P53316	PF00076
P38301	PF01169
P38972	PF02769
P38972	PF18072
P38972	PF18076
P38972	PF22689
P38972	PF13507
P69850	PF08656
P40858	PF00829
Q05031	PF03663
P40364	PF17234
P53733	PF00203
Q03941	PF01121
P25390	PF00069
P35727	PF17324
P07259	PF02786
P07259	PF02787
P07259	PF00988
P07259	PF00117
P07259	PF02142
P07259	PF00185
P07259	PF02729
Q01163	PF10236
P25623	PF10291
P22354	PF12824
Q06673	PF12722
P18961	PF00069
P18961	PF00433
P53875	PF00298
P53875	PF03946
P53204	PF01467
P38208	PF20976
Q12487	PF00572
Q06266	PF00498
P05319	PF00428
Q03735	PF10567
Q03735	PF10378
P36516	PF00035
P36516	PF00636
P53379	PF00026
P08525	PF02939
P35172	PF01204
P35172	PF07492
P37012	PF02878
P37012	PF02879
P37012	PF02880
P0CX40	PF01201
P47190	PF02815
P47190	PF02366
P47190	PF16192
P41911	PF07479
P41911	PF01210
Q05672	PF01424
P02406	PF00828
P32861	PF01704
P27614	PF07687
P27614	PF01546
O14455	PF01158
Q12508	PF10607
P53102	PF18517
P53102	PF03962
P38856	PF07651
P49166	PF01907
P0CX84	PF00831
P38891	PF01063
P32386	PF00664
P32386	PF00005
P40469	PF12460
P40469	PF14500
Q02457	PF00249
Q02457	PF08558
P19146	PF00025
P38962	PF05832
P50078	PF08693
P33336	PF03935
P53824	PF01680
P53108	PF04893
P41821	PF12929
P0CX44	PF00687
P20133	PF00432
P53185	PF22575
Q05518	PF08316
P49957	PF08241
Q08952	PF07534
Q04004	PF02114
P47120	PF03130
Q05498	PF04900
P0CY08	PF00046
Q07451	PF05529
Q04746	PF04163
P09938	PF00268
Q04740	PF01693
Q04740	PF00075
P38758	PF01266
Q05533	PF00459
P46972	PF10502
P14127	PF00833
P38167	PF02752
P43561	PF00394
P43561	PF07731
P43561	PF07732
P39076	PF00118
Q06625	PF06202
Q06625	PF14701
Q06625	PF14702
Q06625	PF14699
Q12477	PF00134
P0CH09	PF01020
P0CH09	PF00240
Q12753	PF00649
Q12369	PF08457
Q12369	PF10638
P39113	PF04082
P39113	PF00172
Q04121	PF00999
P43554	PF08624
P40988	PF04120
P34163	PF00561
P53244	PF02752
P52960	PF00172
P39102	PF00226
P39102	PF01556
P39102	PF00684
P38771	PF01765
P19956	PF10780
Q08726	PF03029
P42837	PF02383
P47077	PF22493
P23833	PF02630
P54780	PF00827
P40212	PF01294
P33421	PF01127
P31374	PF00069
P14359	PF01679
P32874	PF21385
P32874	PF08326
P32874	PF02785
P32874	PF00289
P32874	PF00364
P32874	PF01039
P32874	PF02786
P38276	PF03928
Q02932	PF03810
P25646	PF00481
P22855	PF09261
P22855	PF22907
P22855	PF17677
P22855	PF07748
P22855	PF01074
Q05931	PF00012
P07149	PF00698
P07149	PF08354
P07149	PF22235
P07149	PF17951
P07149	PF17828
P07149	PF01575
P07149	PF13452
P07149	PF16073
Q04598	PF00468
Q99190	PF02544
Q03976	PF10213
P34247	PF03998
P23968	PF00137
P43602	PF02752
P43602	PF00339
Q02197	PF04112
Q06630	PF12829
P07267	PF00026
P38797	PF07228
Q02875	PF02213
P53246	PF02892
P32783	PF03291
Q12153	PF04427
Q12066	PF10332
Q05029	PF09295
O75012	PF06747
P38689	PF13793
P38689	PF14572
P43637	PF00069
P40486	PF04925
P40486	PF21413
P30775	PF03462
P30775	PF00472
Q12515	PF12223
Q03455	PF01545
Q04322	PF00566
Q06504	PF00583
P38120	PF00380
P07258	PF00988
P07258	PF00117
Q06137	PF01591
Q06137	PF00300
Q04053	PF00787
Q12672	PF01157
P26785	PF00572
P39987	PF00012
Q12242	PF22562
P0CX31	PF01282
P50094	PF00571
P50094	PF00478
P15180	PF00152
P15180	PF01336
P21801	PF13085
P21801	PF13534
P53965	PF03162
P36105	PF00467
P36105	PF01929
P34166	PF17317
Q08108	PF01735
P41696	PF00096
P32342	PF05486
Q12181	PF00667
Q12181	PF00258
Q12181	PF00175
Q12398	PF00010
P23369	PF18126
P40453	PF00443
P40019	PF09649
P38146	PF00071
P35184	PF00400
Q99316	PF00085
P53290	PF04670
Q06440	PF08953
Q06440	PF00400
Q06440	PF16300
Q00246	PF00071
Q12168	PF17652
Q12168	PF03639
P47141	PF02777
P32842	PF00137
Q08687	PF11176
P34161	PF00046
P40456	PF13638
Q06836	PF01369
P05755	PF00163
P05755	PF01479
P15179	PF00152
P15179	PF01336
Q12292	PF12744
P47049	PF00789
P38967	PF00324
P32453	PF06644
P32388	PF05047
P53598	PF02629
P53598	PF00549
P32465	PF00083
P14063	PF09784
Q03705	PF08617
P32916	PF00448
P32916	PF02881
P32916	PF09201
Q12288	PF00117
Q03690	PF13236
Q03690	PF15044
Q03690	PF12807
Q03690	PF13374
P36519	PF00281
P36519	PF00673
Q12505	PF00069
Q12317	PF00566
P32768	PF00624
P32768	PF07691
P53107	PF05508
Q04172	PF05546
P40993	PF04032
P14742	PF13522
P14742	PF01380
P36154	PF10209
P47147	PF06602
Q04705	PF16944
P38163	PF08596
P38637	PF08559
P18408	PF01507
Q12232	PF07738
P24784	PF00270
P24784	PF00271
Q03161	PF01263
P51979	PF00270
P51979	PF00271
P51979	PF02889
P53036	PF04499
P33200	PF04082
P33200	PF00172
P40308	PF11815
P40308	PF01734
O13525	PF05019
P32904	PF00347
Q12300	PF00083
P38238	PF01728
P32525	PF13716
P32525	PF00620
P40347	PF01451
Q12342	PF09431
P38141	PF00172
P00331	PF08240
P00331	PF00107
Q12215	PF01822
P53866	PF01585
P35191	PF00226
P35191	PF01556
P35191	PF00684
P40573	PF07716
P27351	PF01602
P21771	PF00312
P08524	PF00348
Q06325	PF00026
Q06200	PF06687
Q12463	PF01170
P25297	PF00083
P53260	PF20977
Q12091	PF00173
P0C0T4	PF03297
P05759	PF01599
P05759	PF00240
Q12084	PF00485
P36526	PF09809
P40989	PF14288
P40989	PF02364
P38274	PF05185
P38274	PF17286
P38274	PF17285
Q12214	PF00850
P27616	PF01259
P39552	PF00674
P23059	PF01423
P11154	PF02785
P11154	PF00289
P11154	PF00364
P11154	PF02786
P11154	PF00682
P11154	PF02436
P38710	PF00459
P28627	PF10502
P13181	PF00083
P36775	PF00004
P36775	PF05362
P36775	PF22667
P36775	PF02190
P48360	PF13450
P38688	PF08492
P49090	PF00733
P49090	PF13537
Q07799	PF16457
P22353	PF18502
P22353	PF01196
P50090	PF13415
P50090	PF13418
P50090	PF13854
P53881	PF00237
P25642	PF05046
P38009	PF01808
P38009	PF02142
P40564	PF00226
P40564	PF14308
P00856	PF05933
P38427	PF00982
P38427	PF02358
Q06681	PF02893
Q06681	PF16016
P47165	PF00156
Q03246	PF00366
P38783	PF09597
P25270	PF00588
P25270	PF08032
P53066	PF00023
P19657	PF00690
P19657	PF00122
P19657	PF00702
Q02725	PF02656
Q02725	PF09359
P10663	PF00253
P53438	PF04383
P47089	PF21023
P47089	PF01253
Q08966	PF08613
P41816	PF00724
P53769	PF13923
P53769	PF00642
P40510	PF00389
P40510	PF02826
P16467	PF02775
P16467	PF00205
P16467	PF02776
Q04675	PF09631
P47041	PF08539
P28778	PF01250
P53119	PF00632
P38840	PF00155
P00950	PF00300
P00128	PF02271
P0C2H6	PF01777
P53305	PF08293
P38355	PF03547
Q04792	PF00282
P39516	PF00411
P40471	PF00106
P41901	PF00735
P38232	PF08550
P43555	PF03388
P39943	PF00096
P43596	PF15612
P38342	PF00106
Q12425	PF01521
P53169	PF08568
P39708	PF00208
P39708	PF02812
P53732	PF00164
P40965	PF05188
P40965	PF05192
P40965	PF05190
P40965	PF00488
P07342	PF02775
P07342	PF00205
P07342	PF02776
Q02981	PF03109
Q03653	PF21072
P40029	PF01625
P25626	PF01245
P38288	PF10287
P38288	PF10290
Q04924	PF12999
Q02608	PF00886
Q07949	PF03031
P47011	PF01501
P42943	PF00118
Q02969	PF05648
P38013	PF08534
P28272	PF01180
Q02866	PF02204
Q04116	PF00046
P35996	PF00238
Q02753	PF01157
P38794	PF00134
P38791	PF01916
Q12455	PF01564
Q12455	PF17284
Q03533	PF00069
P32344	PF08213
Q03694	PF12634
P0CX52	PF00380
P36534	PF00467
P00431	PF00141
Q02825	PF12928
P40557	PF00085
P38995	PF00122
P38995	PF00403
P38995	PF00702
P25038	PF22042
P25038	PF00009
P25038	PF11987
P25038	PF04760
P35719	PF07957
P15703	PF00332
P09232	PF05922
P09232	PF00082
P38622	PF00069
O13585	PF01843
P36119	PF06221
Q06598	PF01758
